cod;nome;período;ValorMulheres;ValorMulheresNegras;ValorMulheresNaoNegras
28;SE;2001;31;15.0;6.0
28;SE;2002;37;22.0;7.0
28;SE;2003;34;16.0;8.0
28;SE;2004;29;15.0;6.0
28;SE;2005;28;22.0;4.0
28;SE;2006;40;22.0;9.0
28;SE;2007;34;21.0;9.0
28;SE;2008;30;21.0;8.0
28;SE;2009;36;21.0;9.0
28;SE;2010;43;36.0;6.0
28;SE;2011;60;50.0;9.0
28;SE;2012;62;52.0;9.0
28;SE;2013;56;48.0;8.0
28;SE;2014;74;65.0;9.0
28;SE;2015;70;64.0;5.0
28;SE;2016;60;54.0;5.0
28;SE;2017;77;64.0;12.0
28;SE;2018;40;34.0;6.0
28;SE;2019;53;50.0;3.0
28;SE;2020;43;37.0;6.0
28;SE;2021;37;34.0;3.0
28;SE;2022;36;32.0;4.0
28;SE;2023;41;37.0;3.0
29;BA;1989;80;;
29;BA;1990;77;;
29;BA;1991;64;;
29;BA;1992;79;;
29;BA;1993;120;;
29;BA;1994;180;;
29;BA;1995;165;;
29;BA;1996;176;0.0;0.0
29;BA;1997;175;11.0;4.0
29;BA;1998;101;24.0;3.0
29;BA;1999;88;41.0;9.0
29;BA;2000;132;90.0;15.0
29;BA;2001;122;81.0;13.0
29;BA;2002;123;88.0;15.0
29;BA;2003;152;100.0;18.0
29;BA;2004;195;155.0;20.0
29;BA;2005;211;164.0;22.0
29;BA;2006;243;197.0;21.0
29;BA;2007;249;207.0;27.0
29;BA;2008;315;260.0;34.0
29;BA;2009;345;284.0;32.0
29;BA;2010;438;361.0;42.0
29;BA;2011;449;375.0;40.0
29;BA;2012;437;368.0;42.0
29;BA;2013;423;362.0;42.0
29;BA;2014;385;323.0;50.0
29;BA;2015;382;331.0;42.0
29;BA;2016;441;379.0;50.0
29;BA;2017;487;417.0;55.0
29;BA;2018;427;369.0;44.0
29;BA;2019;396;358.0;30.0
29;BA;2020;444;387.0;43.0
29;BA;2021;463;401.0;51.0
29;BA;2022;411;368.0;38.0
29;BA;2023;463;411.0;47.0
31;MG;1989;168;;
31;MG;1990;148;;
31;MG;1991;159;;
31;MG;1992;154;;
31;MG;1993;181;;
31;MG;1994;170;;
31;MG;1995;145;;
31;MG;1996;185;0.0;0.0
31;MG;1997;179;60.0;49.0
31;MG;1998;201;92.0;57.0
31;MG;1999;222;110.0;69.0
31;MG;2000;252;125.0;102.0
31;MG;2001;241;119.0;94.0
31;MG;2002;294;151.0;120.0
31;MG;2003;376;199.0;152.0
31;MG;2004;373;230.0;115.0
31;MG;2005;377;212.0;143.0
31;MG;2006;392;238.0;138.0
31;MG;2007;403;248.0;131.0
31;MG;2008;377;221.0;133.0
31;MG;2009;402;246.0;132.0
31;MG;2010;409;259.0;141.0
31;MG;2011;457;283.0;165.0
31;MG;2012;460;303.0;148.0
31;MG;2013;427;274.0;145.0
31;MG;2014;403;259.0;141.0
31;MG;2015;415;267.0;139.0
31;MG;2016;375;247.0;122.0
31;MG;2017;388;261.0;122.0
31;MG;2018;349;241.0;105.0
31;MG;2019;295;207.0;86.0
31;MG;2020;270;166.0;102.0
31;MG;2021;249;159.0;88.0
31;MG;2022;272;166.0;101.0
31;MG;2023;280;202.0;76.0
32;ES;1989;75;;
32;ES;1990;88;;
32;ES;1991;95;;
32;ES;1992;85;;
32;ES;1993;101;;
32;ES;1994;108;;
32;ES;1995;123;;
32;ES;1996;123;0.0;0.0
32;ES;1997;128;20.0;16.0
32;ES;1998;163;32.0;22.0
32;ES;1999;128;45.0;22.0
32;ES;2000;113;49.0;23.0
32;ES;2001;132;58.0;33.0
32;ES;2002;149;71.0;29.0
32;ES;2003;141;67.0;42.0
