cod;nome;período;valor;populacao
31.0;MG;2016;4622.0;20997560.0
31.0;MG;2017;4299.0;21119536.0
31.0;MG;2018;3372.0;21040662.0
31.0;MG;2019;2893.0;21168791.0
31.0;MG;2020;2743.0;21292666.0
31.0;MG;2021;2577.0;21411923.0
31.0;MG;2022;2699.0;20539989.0
31.0;MG;2023;2795.0;20539989.0
;MG;2024;;21322691.0
;MG;2025;;21393441.0
50.0;MS;1989;371.0;
50.0;MS;1990;348.0;
50.0;MS;1991;388.0;1780385.0
50.0;MS;1992;423.0;1818175.0
50.0;MS;1993;457.0;1850162.0
50.0;MS;1994;522.0;1881868.0
50.0;MS;1995;636.0;1912788.0
50.0;MS;1996;722.0;1927834.0
50.0;MS;1997;729.0;1964603.0
50.0;MS;1998;670.0;1995578.0
50.0;MS;1999;571.0;2026600.0
50.0;MS;2000;651.0;2078070.0
50.0;MS;2001;621.0;2111036.0
50.0;MS;2002;684.0;2140624.0
50.0;MS;2003;705.0;2169688.0
50.0;MS;2004;656.0;2230702.0
50.0;MS;2005;631.0;2264468.0
50.0;MS;2006;683.0;2297981.0
50.0;MS;2007;710.0;2265813.0
50.0;MS;2008;699.0;2336058.0
50.0;MS;2009;725.0;2360498.0
50.0;MS;2010;656.0;2449024.0
50.0;MS;2011;673.0;2477542.0
50.0;MS;2012;683.0;2505088.0
50.0;MS;2013;630.0;2587269.0
50.0;MS;2014;700.0;2619657.0
50.0;MS;2015;634.0;2651235.0
50.0;MS;2016;671.0;2682386.0
50.0;MS;2017;659.0;2713147.0
50.0;MS;2018;572.0;2748023.0
50.0;MS;2019;491.0;2778986.0
50.0;MS;2020;491.0;2809394.0
50.0;MS;2021;551.0;2839188.0
50.0;MS;2022;550.0;2757013.0
50.0;MS;2023;584.0;2757013.0
;MS;2024;;2901895.0
;MS;2025;;2924631.0
51.0;MT;1989;471.0;
51.0;MT;1990;415.0;
51.0;MT;1991;452.0;2026069.0
51.0;MT;1992;355.0;2107698.0
51.0;MT;1993;356.0;2178178.0
51.0;MT;1994;316.0;2246757.0
51.0;MT;1995;583.0;2313634.0
51.0;MT;1996;660.0;2235832.0
51.0;MT;1997;766.0;2287846.0
51.0;MT;1998;832.0;2331663.0
51.0;MT;1999;822.0;2375549.0
51.0;MT;2000;990.0;2505245.0
51.0;MT;2001;973.0;2560584.0
51.0;MT;2002;948.0;2604742.0
51.0;MT;2003;908.0;2651335.0
51.0;MT;2004;853.0;2749145.0
51.0;MT;2005;907.0;2803274.0
51.0;MT;2006;896.0;2856999.0
51.0;MT;2007;889.0;2854642.0
51.0;MT;2008;937.0;2957732.0
51.0;MT;2009;1000.0;3001692.0
51.0;MT;2010;972.0;3035122.0
51.0;MT;2011;1009.0;3075936.0
51.0;MT;2012;1074.0;3115336.0
51.0;MT;2013;1158.0;3182113.0
51.0;MT;2014;1358.0;3224357.0
51.0;MT;2015;1203.0;3265486.0
