cod;nome;período;ValorHomens;ValorHomensNegros;ValorHomensNaoNegros
32;ES;2002;1494;742.0;261.0
32;ES;2003;1487;816.0;293.0
32;ES;2004;1482;859.0;227.0
32;ES;2005;1453;924.0;213.0
32;ES;2006;1578;1008.0;211.0
32;ES;2007;1691;1081.0;245.0
32;ES;2008;1756;1123.0;234.0
32;ES;2009;1769;1215.0;219.0
32;ES;2010;1618;1171.0;231.0
32;ES;2011;1505;1105.0;201.0
32;ES;2012;1504;1205.0;175.0
32;ES;2013;1451;1182.0;201.0
32;ES;2014;1469;1206.0;218.0
32;ES;2015;1308;1061.0;163.0
32;ES;2016;1166;943.0;126.0
32;ES;2017;1369;1098.0;161.0
32;ES;2018;1063;887.0;111.0
32;ES;2019;946;802.0;90.0
32;ES;2020;1122;865.0;122.0
32;ES;2021;1127;874.0;126.0
32;ES;2022;1042;844.0;150.0
32;ES;2023;1061;826.0;177.0
33;RJ;1989;3980;;
33;RJ;1990;6614;;
33;RJ;1991;4672;;
33;RJ;1992;4212;;
33;RJ;1993;4972;;
33;RJ;1994;5922;;
33;RJ;1995;7617;;
33;RJ;1996;7369;0.0;1.0
33;RJ;1997;7298;3940.0;2217.0
33;RJ;1998;7000;3631.0;2246.0
33;RJ;1999;6695;3726.0;2212.0
33;RJ;2000;6795;4003.0;2447.0
33;RJ;2001;6767;4003.0;2306.0
33;RJ;2002;7748;4634.0;2631.0
33;RJ;2003;7579;4671.0;2499.0
33;RJ;2004;7221;4536.0;2307.0
33;RJ;2005;6885;4385.0;2238.0
33;RJ;2006;6858;4339.0;2217.0
33;RJ;2007;6121;3952.0;1883.0
33;RJ;2008;5274;3365.0;1644.0
33;RJ;2009;5000;3237.0;1538.0
33;RJ;2010;5310;3484.0;1610.0
33;RJ;2011;4403;2933.0;1319.0
33;RJ;2012;4386;2999.0;1241.0
33;RJ;2013;4687;3247.0;1302.0
33;RJ;2014;5196;3666.0;1364.0
33;RJ;2015;4651;3283.0;1238.0
33;RJ;2016;5569;4076.0;1383.0
33;RJ;2017;5956;4378.0;1497.0
33;RJ;2018;6013;4448.0;1488.0
33;RJ;2019;3316;2435.0;851.0
33;RJ;2020;4483;3387.0;1056.0
33;RJ;2021;4381;3312.0;1038.0
33;RJ;2022;3496;2652.0;814.0
33;RJ;2023;3908;2969.0;512.0
35;SP;1989;8508;;
35;SP;1990;8824;;
35;SP;1991;8896;;
35;SP;1992;8472;;
35;SP;1993;8498;;
35;SP;1994;9194;;
35;SP;1995;10596;;
35;SP;1996;11361;335.0;1553.0
35;SP;1997;11509;2055.0;2671.0
35;SP;1998;12952;5434.0;6291.0
35;SP;1999;14640;6182.0;7723.0
35;SP;2000;14441;6029.0;8110.0
35;SP;2001;14669;6096.0;8301.0
35;SP;2002;13471;5643.0;7611.0
35;SP;2003;13017;5461.0;7487.0
35;SP;2004;10474;4434.0;5958.0
35;SP;2005;8091;3474.0;4575.0
35;SP;2006;7582;3121.0;4315.0
35;SP;2007;5834;2417.0;3315.0
35;SP;2008;5660;2265.0;3263.0
35;SP;2009;5882;2385.0;3382.0
35;SP;2010;5355;2219.0;2911.0
35;SP;2011;5257;2293.0;2808.0
35;SP;2012;5920;2627.0;3150.0
35;SP;2013;5403;2459.0;2823.0
35;SP;2014;5561;2612.0;2833.0
35;SP;2015;4860;2336.0;2414.0
35;SP;2016;4358;2017.0;2284.0
35;SP;2017;4134;2002.0;2094.0
35;SP;2018;3269;1571.0;1642.0
35;SP;2019;2954;1535.0;1377.0
35;SP;2020;2998;1505.0;1453.0
35;SP;2021;2742;1373.0;1328.0
35;SP;2022;2833;1415.0;1372.0
35;SP;2023;2652;1395.0;1178.0
41;PR;1989;1004;;
41;PR;1990;1041;;
41;PR;1991;1073;;
41;PR;1992;971;;
41;PR;1993;1099;;
41;PR;1994;1130;;
41;PR;1995;1223;;
41;PR;1996;1225;0.0;0.0
41;PR;1997;1424;66.0;328.0
41;PR;1998;1447;232.0;827.0
41;PR;1999;1522;262.0;1025.0
41;PR;2000;1623;331.0;1242.0
41;PR;2001;1852;333.0;1469.0
41;PR;2002;2061;377.0;1644.0
41;PR;2003;2326;380.0;1887.0
41;PR;2004;2573;495.0;2030.0
41;PR;2005;2738;589.0;2094.0
41;PR;2006;2839;474.0;2326.0
41;PR;2007;2860;575.0;2220.0
41;PR;2008;3132;640.0;2413.0
41;PR;2009;3361;619.0;2698.0
41;PR;2010;3248;619.0;2588.0
41;PR;2011;3086;599.0;2440.0
41;PR;2012;3162;690.0;2408.0
41;PR;2013;2653;540.0;2089.0
41;PR;2014;2694;541.0;2126.0
41;PR;2015;2691;611.0;2048.0
41;PR;2016;2841;619.0;2180.0
41;PR;2017;2511;647.0;1838.0
41;PR;2018;2232;607.0;1601.0
41;PR;2019;1891;542.0;1332.0
41;PR;2020;2083;692.0;1372.0
41;PR;2021;2149;848.0;1286.0
41;PR;2022;2357;978.0;1357.0
41;PR;2023;1982;817.0;1028.0
42;SC;1989;315;;
42;SC;1990;341;;
42;SC;1991;317;;
42;SC;1992;311;;
42;SC;1993;337;;
42;SC;1994;301;;
42;SC;1995;372;;
42;SC;1996;345;0.0;1.0
42;SC;1997;372;10.0;111.0
42;SC;1998;345;34.0;179.0
42;SC;1999;335;44.0;217.0
42;SC;2000;380;47.0;292.0
42;SC;2001;417;61.0;320.0
42;SC;2002;510;75.0;396.0
42;SC;2003;600;93.0;442.0
42;SC;2004;559;92.0;427.0
42;SC;2005;564;88.0;422.0
42;SC;2006;574;78.0;439.0
42;SC;2007;560;88.0;450.0
42;SC;2008;715;100.0;600.0
42;SC;2009;726;107.0;605.0
42;SC;2010;712;114.0;578.0
42;SC;2011;737;123.0;607.0
42;SC;2012;717;156.0;553.0
42;SC;2013;686;101.0;577.0
42;SC;2014;794;138.0;640.0
42;SC;2015;860;185.0;662.0
42;SC;2016;877;213.0;654.0
42;SC;2017;957;247.0;701.0
42;SC;2018;751;157.0;591.0
42;SC;2019;653;163.0;488.0
42;SC;2020;646;168.0;472.0
42;SC;2021;620;161.0;451.0
42;SC;2022;578;137.0;426.0
42;SC;2023;552;167.0;366.0
43;RS;1989;1419;;
43;RS;1990;1547;;
43;RS;1991;1538;;
43;RS;1992;1409;;
43;RS;1993;1064;;
43;RS;1994;1196;;
43;RS;1995;1288;;
43;RS;1996;1290;0.0;0.0
43;RS;1997;1458;232.0;1081.0
43;RS;1998;1343;231.0;1019.0
43;RS;1999;1370;249.0;1039.0
43;RS;2000;1491;250.0;1216.0
